单层板结构国内方程优化顺序为：,,,,,,,,,,,
"(a1,a2)","(a3,a4)","(a1,a3)","(a2,a4)","(a2,a3)","(a1,a2)",,,,,,
不同优化体系下的优化结果：,,,,,,,,,,,
体系,a1,a2,a3,a4,p_F,p_NF,f_f^2,f_NF^2,ptotal,psafe,f2
初始,0.38,0.227,-0.503,-0.56,1,0.12,0,1.6754,0.6563,1,1.6754
1,0.4068603,0.187956,-0.366687,-0.731808,1,0.48,0,0.0865,0.7969,1,0.0865
2,0.4068603,0.187956,-0.366687,-0.731808,1,0.48,0,0.0865,0.7969,1,0.0865
3,0.4027506,0.187956,-0.366687,-0.74536,1,0.44,0,0.0789,0.7813,1,0.0789
4,0.4598,0.18607644,-0.4278015,-0.74536,0.7692,1,0.063,0,0.8594,0.8594,0.063
5,0.4027506,0.187956,-0.366687,-0.74536,1,0.44,0,0.0789,0.7813,1,0.0789
6,0.4610046,0.2273859,-0.366687,-0.74536,0.7949,0.88,0.0287,0.002,0.8281,0.875,0.0307
自定义,0.38,0.227,-0.503,-0.56,1,0.12,0,1.6754,0.6563,1,1.6754
