填充式结构国外方程优化顺序为：,,,,,,,,,,,,,,,,,,,,
"(a1,a6)","(a2,a7)","(a3,a8)","(a4,a9)","(a5,a10)","(a1,a6)",,,,,,,,,,,,,,,
不同优化体系下的优化结果：,,,,,,,,,,,,,,,,,,,,
体系,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,p_F,p_NF,f_F^2,f_NF^2,ptotal,psafe,f2
初始,2,0.5,0.37,1.666666667,0.5,0.666666667,0.6,0.333333333,0.666666667,0.166666667,0.333333333,0.333333333,0.5,0.5455,0.7,0.1751,0.1094,0.619,0.7619,0.2845
1,1.98,0.55,0.333,1.5,0.45,0.66,0.54,0.366666667,0.633333333,0.15,0.333333333,0.333333333,0.5,1,0.5,0,0.2579,0.7619,1,0.2579
2,2.046,0.55,0.3626,1.5,0.45,0.66,0.54,0.366666667,0.633333333,0.15,0.333333333,0.333333333,0.5,1,0.55,0,0.204,0.7857,1,0.204
3,1.98,0.55,0.333,1.5,0.45,0.66,0.54,0.366666667,0.633333333,0.15,0.333333333,0.333333333,0.5,1,0.5,0,0.2579,0.7619,1,0.2579
4,2.2,0.45,0.3885,1.5,0.45,0.6,0.654,0.356666667,0.733333333,0.181666667,0.333333333,0.333333333,0.5,0.4091,1,1.865,0,0.6905,0.6905,1.865
5,1.98,0.55,0.333,1.5,0.45,0.66,0.54,0.366666667,0.633333333,0.15,0.333333333,0.333333333,0.5,1,0.5,0,0.2579,0.7619,1,0.2579
6,2.288,0.45,0.4033,1.5,0.45,0.546,0.54,0.363333333,0.633333333,0.16,0.333333333,0.333333333,0.5,0.9091,0.65,0.002,0.0476,0.7857,0.9524,0.0496
自定义,2,0.5,0.37,1.666666667,0.5,0.666666667,0.6,0.333333333,0.666666667,0.166666667,0.333333333,0.333333333,0.5,0.5455,0.7,0.1751,0.1094,0.619,0.7619,0.2845
